class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_a,rough_a,slp_d,sp_a
not,105.9929962,5.92875,0.297188,0.311672,0.0144834,0.45498,1.92901,4.5655999,-1.36371
not,3662.860107,7.10781,0.0836408,-0.0891844,-0.172825,0.668018,3.85145,7.00102,5.45157
not,1076.089966,6.7531199,0.12531,-0.355054,-0.480364,0.601025,3.25421,9.9309597,3.8456399
not,3588.169922,5.2778702,1.17082,0.145683,-1.02514,0.939146,3.3616099,8.70432,15.6716995
not,3654.860107,5.66012,0.125537,0.446053,0.320516,0.607478,4.65167,22.6777,10.0367002
not,2053.659912,6.3192701,0.62723,-0.349041,-0.976271,0.767766,3.2317801,9.2083397,8.6928596
not,564.8430176,5.3635898,1.67251,1.03407,-0.638442,0.741938,2.6420701,7.99896,6.0524302
not,0,11.0621996,-2.2994399,-1.92617,0.373268,0.370045,2.9356599,6.5268302,-6.86095
not,2647.820068,6.7596598,-1.00331,-0.859964,0.143348,0.466259,3.1807401,13.6863003,-3.3339801
not,1748.689941,5.3274999,1.71418,1.15599,-0.558194,0.693244,3.47258,16.2446003,5.2374101
not,5172.930176,5.8575001,0,0.0648143,0.0648143,0.608789,4.0680399,18.9323006,4.81041
not,196.7039948,7.95752,0.0835654,0.0345155,-0.0490499,0.658116,2.1682301,3.00545,0.775894
not,2073.77002,8.2171698,-0.0834901,-0.134938,-0.0514483,0.8481,2.8448501,2.7821701,8.4355297
not,1268.5,9.1267595,-1.88131,-1.61198,0.26933,0.421392,4.4162102,20.2315006,-7.0573602
not,582.3469849,7.47263,-0.125687,-0.319996,-0.194308,0.497181,2.82583,6.80721,-1.12553
not,937.5529785,6.8664498,-0.334789,0.0499172,0.384706,0.454569,3.70929,14.0427999,-1.42337
not,3447.969971,4.8481202,0.0001507,-0.136079,-0.136229,0.539658,4.9246302,25.2010994,6.7106199
not,277.6839905,6.0112,0.376308,0.201444,-0.174864,0.232207,3.71434,12.4404001,-13.2882004
not,785.9349976,5.9919,0.20914,-1.22013,-1.42927,0.196242,5.4892802,39.5105019,-15.9478998
not,2851.879883,5.8206501,-1.25439,-0.640706,0.61368,0.534452,4.61235,23.9818993,1.72263
not,5005.27002,8.4033203,-2.0068901,-1.55678,0.450104,0.527678,4.7160602,17.5372009,-0.683182
not,2804.370117,5.1080198,2.6759,2.21331,-0.462588,0.43856,5.1867099,19.9449005,-8.0220804
not,232.3339996,5.6742101,-0.919935,0.0398182,0.959754,0.409527,3.54089,11.6402998,-6.4709902
not,238.2079926,6.08533,0.794211,0.541762,-0.252448,0.370637,2.62111,11.5763998,-3.2168701
not,2030.479981,7.4839301,-0.0418957,0.0638838,0.10578,0.628418,3.68714,10.5074997,4.1176801
not,784.1309814,9.2099199,-1.12892,-2.09513,-0.966203,0.505538,4.8509698,21.4629993,-6.8248301
not,2383.23999,6.6351199,-0.125348,-0.374305,-0.248956,0.493513,4.1806798,15.4198999,1.14474
not,2400.209961,7.6392698,-0.0001507,-0.0417762,-0.0416255,0.47275,3.1006601,8.2140903,-3.6603701
not,2077.969971,7.0216899,0.167282,-0.210702,-0.377983,0.513182,4.329,20.5447006,0.714668
not,87.3825989,5.2140098,3.52459,0.242549,-3.2820401,0.40085,2.4318099,9.26863,-2.46292
not,1076.579956,8.4202003,-0.041745,-0.181701,-0.139956,0.485275,3.77966,11.2180996,-1.90505
not,151.1569977,7.1575699,0.719085,0.496769,-0.222316,0.253587,3.6194699,20.5004997,-9.7569704
not,79.2145004,7.1540098,0.0376007,0.0694335,0.0318329,0.15325,1.84347,4.0244098,-3.1476901
not,2875.879883,8.2413101,-0.0833394,-0.0416509,0.0416884,0.534239,2.5968299,6.7632899,0.987564
not,873.9769897,5.4315801,0.208801,0.103336,-0.105465,0.520744,2.8987401,7.4793501,0.825516
